"","word","sentiment","n"
"1117","costly","negative",4
"1118","crashes","negative",4
"1119","crippling","negative",4
"1120","crushing","negative",4
"1121","debts","negative",4
"1122","defeated","positive",4
"1123","despicable","negative",4
"1124","detachable","positive",4
"1125","deteriorating","negative",4
"1126","deterioration","negative",4
"1127","devil","negative",4
"1128","dick","negative",4
"1129","dignity","positive",4
"1130","diligently","positive",4
"1131","discontinued","negative",4
"1132","disproportionate","negative",4
"1133","disturbed","negative",4
"1134","dominates","positive",4
"1135","doom","negative",4
"1136","draconian","negative",4
"1137","drunk","negative",4
"1138","exacerbate","negative",4
"1139","excessive","negative",4
"1140","fascism","negative",4
"1141","fierce","negative",4
"1142","filthy","negative",4
"1143","flawed","negative",4
"1144","fooled","negative",4
"1145","fortune","positive",4
"1146","futile","negative",4
"1147","glitter","positive",4
"1148","gloom","negative",4
"1149","glow","positive",4
"1150","guilt","negative",4
"1151","gullible","negative",4
"1152","hack","negative",4
"1153","hamper","negative",4
"1154","hang","negative",4
"1155","happier","positive",4
"1156","happily","positive",4
"1157","harmony","positive",4
"1158","hated","negative",4
"1159","hatred","negative",4
"1160","heartening","positive",4
"1161","heck","negative",4
"1162","heroic","positive",4
"1163","homage","positive",4
"1164","hypocrites","negative",4
